MA01_01|The birch canoe slid on the smooth planks.|The birch canoe slid on the smooth planks.
MA01_02|Glue the sheet to the dark blue background.|Glue the sheet to the dark blue background.
MA01_03|It's easy to tell the depth of a well.|It's easy to tell the depth of a well.
MA01_04|These days a chicken leg is a rare dish.|These days a chicken leg is a rare dish.
MA01_05|Rice is often served in round bowls.|Rice is often served in round bowls.
MA01_06|The juice of lemons makes fine punch.|The juice of lemons makes fine punch.
MA01_07|The box was thrown beside the parked truck.|The box was thrown beside the parked truck.
MA01_08|The hogs were fed chopped corn and garbage.|The hogs were fed chopped corn and garbage.
MA01_09|Four hours of steady work faced us.|Four hours of steady work faced us.
MA01_10|A large size in stockings is hard to sell.|A large size in stockings is hard to sell.
MA02_01|The boy was there when the sun rose.|The boy was there when the sun rose.
MA02_02|A rod is used to catch pink salmon. |A rod is used to catch pink salmon. 
MA02_03|The source of the huge river is the clear spring.|The source of the huge river is the clear spring.
MA02_04|Kick the ball straight and follow through.|Kick the ball straight and follow through.
MA02_05|Help the woman get back to her feet.|Help the woman get back to her feet.
MA02_06|A pot of tea helps to pass the evening.|A pot of tea helps to pass the evening.
MA02_07|Smoky fires lack flame and heat.|Smoky fires lack flame and heat.
MA02_08|The soft cushion broke the man's fall.|The soft cushion broke the man's fall.
MA02_09|The salt breeze came across from the sea.|The salt breeze came across from the sea.
MA02_10|The girl at the booth sold fifty bonds.|The girl at the booth sold fifty bonds.
MA03_01|The small pup gnawed a hole in the sock.|The small pup gnawed a hole in the sock.
MA03_02|The fish twisted and turned on the bent hook.|The fish twisted and turned on the bent hook.
MA03_03|Press the pants and sew a button on the vest.|Press the pants and sew a button on the vest.
MA03_04|The swan dive was far short of perfect.|The swan dive was far short of perfect.
MA03_05|The beauty of the view stunned the young boy.|The beauty of the view stunned the young boy.
MA03_06|Two blue fish swam in the tank.|Two blue fish swam in the tank.
MA03_07|Her purse was full of useless trash.|Her purse was full of useless trash.
MA03_08|The colt reared and threw the tall rider.|The colt reared and threw the tall rider.
"MA03_09|It snowed, rained, and hailed the same morning.|It snowed, rained, and hailed the same morning."
MA03_10|Read verse out loud for pleasure.|Read verse out loud for pleasure.
MA04_01|Hoist the load to your left shoulder.|Hoist the load to your left shoulder.
MA04_02|Take the winding path to reach the lake.|Take the winding path to reach the lake.
MA04_03|Note closely the size of the gas tank.|Note closely the size of the gas tank.
MA04_04|Wipe the grease off his dirty face.|Wipe the grease off his dirty face.
MA04_05|Mend the coat before you go out.|Mend the coat before you go out.
MA04_06|The wrist was badly strained and hung limp.|The wrist was badly strained and hung limp.
MA04_07|The stray cat gave birth to kittens.|The stray cat gave birth to kittens.
MA04_08|The young girl gave no clear response.|The young girl gave no clear response.
MA04_09|The meal was cooked before the bell rang.|The meal was cooked before the bell rang.
MA04_10|What joy there is in living.|What joy there is in living.
MA05_01|A king ruled the state in the early days.|A king ruled the state in the early days.
MA05_02|The ship was torn apart on the sharp reef.|The ship was torn apart on the sharp reef.
MA05_03|Sickness kept him home the third week.|Sickness kept him home the third week.
MA05_04|The wide road shimmered in the hot sun.|The wide road shimmered in the hot sun.
MA05_05|The lazy cow lay in the cool grass.|The lazy cow lay in the cool grass.
MA05_06|Lift the square stone over the fence.|Lift the square stone over the fence.
MA05_07|The rope will bind the seven books at once.|The rope will bind the seven books at once.
MA05_08|Hop over the fence and plunge in.|Hop over the fence and plunge in.
MA05_09|The friendly gang left the drug store.|The friendly gang left the drug store.
MA05_10|Mesh wire keeps chicks inside.|Mesh wire keeps chicks inside.
MA06_01|The frost air passed through the coat.|The frost air passed through the coat.
MA06_02|The crooked maze failed to fool the mouse.|The crooked maze failed to fool the mouse.
MA06_03|Adding fast leads to wrong sums.|Adding fast leads to wrong sums.
MA06_04|The show was a flop from the very start.|The show was a flop from the very start.
MA06_05|A saw is a tool used for making boards.|A saw is a tool used for making boards.
MA06_06|The wagon moved on well oiled wheels.|The wagon moved on well oiled wheels.
MA06_07|March the soldiers past the next hill.|March the soldiers past the next hill.
MA06_08|A cup of sugar makes sweet fudge.|A cup of sugar makes sweet fudge.
MA06_09|Place a rosebush near the porch steps.|Place a rosebush near the porch steps.
MA06_10|Both lost their lives in the raging storm.|Both lost their lives in the raging storm.
MB07_01|We talked of the side show in the circus.|We talked of the side show in the circus.
MB07_02|Use a pencil to write the first draft.|Use a pencil to write the first draft.
MB07_03|He ran half way to the hardware store.|He ran half way to the hardware store.
MB07_04|The clock struck to mark the third period.|The clock struck to mark the third period.
MB07_05|A small creek cut across the field.|A small creek cut across the field.
MB07_06|Cars and busses stalled in snow drifts.|Cars and busses stalled in snow drifts.
MB07_07|The set of china hit the floor with a crash.|The set of china hit the floor with a crash.
MB07_08|This is a grand season for hikes on the road.|This is a grand season for hikes on the road.
MB07_09|The dune rose from the edge of the water.|The dune rose from the edge of the water.
MB07_10|Those words were the cue for the actor to leave.|Those words were the cue for the actor to leave.
